    33.58474     0.57198   -26.64167     2.10024   (sampled)
    33.70974     0.59409   -26.49985     2.21298 (mid-point)
    33.83474     0.62257   -26.35802     2.31563   (sampled)
    33.95974     0.64500   -26.20416     2.41127 (mid-point)
    34.08474     0.67524   -26.05030     2.49854   (sampled)
    34.20974     0.69366   -25.87024     2.58123 (mid-point)
    34.33474     0.72496   -25.69018     2.65694   (sampled)
    34.45974     0.75405   -25.48413     2.72691 (mid-point)
    34.58474     0.79936   -25.27809     2.78918   (sampled)
    34.70974     0.72030   -25.13988     2.86587 (mid-point)
    34.83474     0.64242   -25.00167     2.96228   (sampled)
    34.95974     0.50997   -24.42556     3.11528 (mid-point)
    35.08474     0.52550   -23.84946     3.25936   (sampled)
    35.20974     0.53952   -23.57204     3.39605 (mid-point)
    35.33474     0.58488   -23.29462     3.51236   (sampled)
    35.45974     0.60500   -23.09111     3.62107 (mid-point)
    35.58474     0.64307   -22.88760     3.71728   (sampled)
    35.70974     0.65958   -22.31824     3.80874 (mid-point)
    35.83474     0.81140   -21.74887     3.86918   (sampled)
    35.95974     0.82550   -21.59289     3.92756 (mid-point)
    36.08474     0.84253   -21.43691     3.98362   (sampled)
    36.20974     0.84753   -21.27926     4.03901 (mid-point)
    36.33474     0.86099   -21.12162     4.09268   (sampled)
    36.45974     0.81484   -20.77295     4.15261 (mid-point)
    36.58474     0.79768   -20.42429     4.21514   (sampled)
    36.70974     0.72717   -20.20592     4.29039 (mid-point)
    36.83474     0.67363   -19.98756     4.37807   (sampled)
    36.95974     0.55615   -19.36572     4.50671 (mid-point)
    37.08474     0.58853   -18.74387     4.62158   (sampled)
    37.20974     0.63306   -18.29339     4.72087 (mid-point)
    37.33474     0.74994   -17.84291     4.79161   (sampled)
    37.45974     0.82002   -17.70248     4.85079 (mid-point)
    37.58474     0.89101   -17.56204     4.90090   (sampled)
    37.70974     0.93620   -17.42034     4.94630 (mid-point)
    37.83474     0.98774   -17.27865     4.98708   (sampled)
    37.95974     1.01857   -17.15087     5.02543 (mid-point)
    38.08474     1.05185   -17.02310     5.06140   (sampled)
    38.20974     1.07834   -16.89420     5.09562 (mid-point)
    38.33474     1.11020   -16.76530     5.12790   (sampled)
    38.45974     1.10837   -16.61104     5.16029 (mid-point)
    38.58474     1.11448   -16.45678     5.19232   (sampled)
    38.70974     1.11520   -16.27148     5.22431 (mid-point)
    38.83474     1.12748   -16.08618     5.25561   (sampled)
    38.95974     1.13756   -15.91654     5.28636 (mid-point)
    39.08474     1.15549   -15.74691     5.31616   (sampled)
    39.20974     1.16087   -15.59775     5.34569 (mid-point)
    39.33474     1.17231   -15.44859     5.37464   (sampled)
    39.45974     1.18591   -15.30117     5.40293 (mid-point)
    39.58474     1.20408   -15.15374     5.43037   (sampled)
    39.70974     1.23228   -15.00442     5.45657 (mid-point)
    39.83474     1.26550   -14.85510     5.48142   (sampled)
    39.95974     1.30565   -14.70629     5.50476 (mid-point)
    40.08474     1.35196   -14.55749     5.52653   (sampled)
    40.20974     1.40514   -14.40852     5.54668 (mid-point)
    40.33474     1.46416   -14.25956     5.56524   (sampled)
    40.45974     1.51185   -14.12340     5.58265 (mid-point)
    40.58474     1.55491   -13.98725     5.59911   (sampled)
    40.70974     1.55474   -13.72772     5.61557 (mid-point)
    40.83474     1.57415   -13.46820     5.63162   (sampled)
    40.95974     1.58727   -13.34108     5.64742 (mid-point)
    41.08474     1.60487   -13.21397     5.66286   (sampled)
    41.20974     1.60776   -12.84011     5.67826 (mid-point)
    41.33474     1.65080   -12.46624     5.69286   (sampled)
    41.45974     1.67199   -12.33330     5.70709 (mid-point)
    41.58474     1.69562   -12.20037     5.72093   (sampled)
    41.70974     1.70735   -12.07287     5.73458 (mid-point)
    41.83474     1.72285   -11.94537     5.74798   (sampled)
    41.95974     1.74283   -11.81727     5.76108 (mid-point)
    42.08474     1.76650   -11.68917     5.77383   (sampled)
    42.20974     1.79624   -11.56188     5.78617 (mid-point)
    42.33474     1.83017   -11.43459     5.79804   (sampled)
    42.45974     1.84997   -11.29140     5.80967 (mid-point)
    42.58474     1.87505   -11.14821     5.82099   (sampled)
    42.70974     1.78883   -10.97439     5.83342 (mid-point)
    42.83474     1.70894   -10.80057     5.84705   (sampled)
    42.95974     1.63622   -10.62700     5.86191 (mid-point)
    43.08474     1.57074   -10.45344     5.87804   (sampled)
    43.20974     0.82638    -9.02940     5.93630 (mid-point)
    43.33474     0.73383    -7.60536     6.01019   (sampled)
    43.45974     0.71765    -7.41792     6.08744 (mid-point)
    43.58474     0.71429    -7.23048     6.16543   (sampled)
    43.70974     0.70316    -6.95545     6.24590 (mid-point)
    43.83474     0.72076    -6.68043     6.32249   (sampled)
    43.95974     0.73607    -6.51134     6.39593 (mid-point)
    44.08474     0.76226    -6.34224     6.46441   (sampled)
    44.20974     0.76557    -6.15672     6.53230 (mid-point)
    44.33474     0.77656    -5.97120     6.59827   (sampled)
    44.45974     0.75954    -5.71181     6.66724 (mid-point)
    44.58474     0.76569    -5.45243     6.73511   (sampled)
    44.70974     0.72772    -5.32500     6.81024 (mid-point)
    44.83474     0.69065    -5.19756     6.89366   (sampled)
    44.95974     0.48552    -4.21976     7.06245 (mid-point)
    45.08474     0.70075    -3.24196     7.14348   (sampled)
    45.20974     0.68994    -3.11582     7.22707 (mid-point)
    45.33474     0.68472    -2.98968     7.31193   (sampled)
    45.45974     0.68455    -2.86347     7.39684 (mid-point)
    45.58474     0.69104    -2.73726     7.48016   (sampled)
    45.70974     0.70137    -2.61142     7.56104 (mid-point)
    45.83474     0.71825    -2.48559     7.63817   (sampled)
    45.95974     0.74722    -2.35887     7.70943 (mid-point)
    46.08474     0.78245    -2.23216     7.77442   (sampled)
    46.20974     0.79376    -2.08753     7.83758 (mid-point)
    46.33474     0.81272    -1.94291     7.89782   (sampled)
    46.45974     0.80553    -1.73421     7.95913 (mid-point)
    46.58474     0.81371    -1.52551     8.01923   (sampled)
    46.70974     0.83429    -1.30179     8.07639 (mid-point)
    46.83474     0.87315    -1.07807     8.12858   (sampled)
    46.95974     0.92276    -0.68978     8.17531 (mid-point)
    47.08474     1.02440    -0.30150     8.21322   (sampled)
    47.20974     1.04518    -0.15075     8.24965 (mid-point)
    47.33474     1.06824     0.00000     8.28452   (sampled)
    47.45974     1.03940     0.16225     8.32134 (mid-point)
    47.58474     1.01911     0.32449     8.35966   (sampled)
    47.70974     0.99005     0.48677     8.40025 (mid-point)
    47.83474     0.97005     0.64905     8.44253   (sampled)
    47.95974     0.95843     0.81093     8.48585 (mid-point)
    48.08474     0.95585     0.97280     8.52940   (sampled)
    48.20974     0.96562     1.13567     8.57207 (mid-point)
    48.33474     0.98248     1.29853     8.61329   (sampled)
    48.45974     0.98267     1.43601     8.65449 (mid-point)
    48.58474     0.98706     1.57349     8.69533   (sampled)
    48.70974     0.93582     1.72019     8.74077 (mid-point)
    48.83474     0.89147     1.86689     8.79083   (sampled)
    48.95974     0.85449     2.01371     8.84532 (mid-point)
    49.08474     0.82446     2.16053     8.90386   (sampled)
    49.20974     0.80195     2.30778     8.96573 (mid-point)
    49.33474     0.78748     2.45504     9.02989   (sampled)
    49.45974     0.77595     2.59758     9.09598 (mid-point)
    49.58474     0.77025     2.74013     9.16304   (sampled)
    49.70974     0.76383     2.87834     9.23124 (mid-point)
    49.83474     0.76476     3.01654     9.29927   (sampled)
    49.95974     0.77376     3.15398     9.36573 (mid-point)
